pipeline,pipeline_description,noise_std,blur_sigma,metric,observations,same_input_ratio_mean,same_input_ratio_sample_std,same_input_ratio_p10,same_input_ratio_median,same_input_ratio_p90,sharp_anchor_ratio_mean,sharp_anchor_ratio_sample_std,zero_fraction_mean,full_scale_fraction_mean
gamma_0_7,Grayscale power-law transform with gamma 0.7,5,3,tenengrad_energy,30,0.731748,0.020980,0.702762,0.742658,0.749743,0.124433,0.093790,0.000000,0.000000
gamma_0_7,Grayscale power-law transform with gamma 0.7,15,0,laplacian_variance,30,0.783849,0.047714,0.734095,0.770350,0.847615,3.162036,2.728870,0.000001,0.000003
gamma_0_7,Grayscale power-law transform with gamma 0.7,15,0,tenengrad_energy,30,0.765344,0.045061,0.714697,0.758417,0.822771,1.117997,0.415971,0.000001,0.000003
gamma_0_7,Grayscale power-law transform with gamma 0.7,15,1,laplacian_variance,30,0.795182,0.059992,0.739820,0.768544,0.878221,2.444179,2.785955,0.000001,0.000000
gamma_0_7,Grayscale power-law transform with gamma 0.7,15,1,tenengrad_energy,30,0.760743,0.033444,0.722875,0.755912,0.803418,0.720846,0.475989,0.000001,0.000000
gamma_0_7,Grayscale power-law transform with gamma 0.7,15,2,laplacian_variance,30,0.764356,0.024707,0.738525,0.757147,0.798966,2.404592,2.795602,0.000000,0.000000
gamma_0_7,Grayscale power-law transform with gamma 0.7,15,2,tenengrad_energy,30,0.752247,0.019795,0.728160,0.752076,0.776555,0.536565,0.504654,0.000000,0.000000
gamma_0_7,Grayscale power-law transform with gamma 0.7,15,3,laplacian_variance,30,0.747616,0.007669,0.737777,0.748663,0.756479,2.409847,2.816861,0.000000,0.000000
gamma_0_7,Grayscale power-law transform with gamma 0.7,15,3,tenengrad_energy,30,0.743322,0.009635,0.730477,0.745924,0.753657,0.454614,0.519590,0.000000,0.000000
gamma_1_4,Grayscale power-law transform with gamma 1.4,0,0,laplacian_variance,30,1.164097,0.091252,1.074246,1.131438,1.286606,1.164097,0.091252,0.000000,0.000000
gamma_1_4,Grayscale power-law transform with gamma 1.4,0,0,tenengrad_energy,30,1.163448,0.090338,1.074246,1.131460,1.284637,1.163448,0.090338,0.000000,0.000000
gamma_1_4,Grayscale power-law transform with gamma 1.4,0,1,laplacian_variance,30,1.208348,0.062751,1.152563,1.178141,1.294341,0.059486,0.010543,0.000000,0.000000
gamma_1_4,Grayscale power-law transform with gamma 1.4,0,1,tenengrad_energy,30,1.175165,0.080913,1.103263,1.136179,1.286054,0.564170,0.088942,0.000000,0.000000
gamma_1_4,Grayscale power-law transform with gamma 1.4,0,2,laplacian_variance,30,1.218039,0.061633,1.158408,1.194552,1.301156,0.011879,0.002002,0.000000,0.000000
gamma_1_4,Grayscale power-law transform with gamma 1.4,0,2,tenengrad_energy,30,1.181068,0.075089,1.115093,1.143977,1.284134,0.276407,0.093733,0.000000,0.000000
gamma_1_4,Grayscale power-law transform with gamma 1.4,0,3,laplacian_variance,30,1.236552,0.075163,1.139712,1.250939,1.319005,0.006112,0.003256,0.000000,0.000000
gamma_1_4,Grayscale power-law transform with gamma 1.4,0,3,tenengrad_energy,30,1.184024,0.071716,1.123076,1.146149,1.282848,0.143467,0.088667,0.000000,0.000000
gamma_1_4,Grayscale power-law transform with gamma 1.4,5,0,laplacian_variance,30,1.144931,0.066203,1.070570,1.135277,1.229395,1.592664,0.593258,0.000000,0.000000
gamma_1_4,Grayscale power-law transform with gamma 1.4,5,0,tenengrad_energy,30,1.157017,0.084005,1.070514,1.132115,1.268684,1.231359,0.176493,0.000000,0.000000
gamma_1_4,Grayscale power-law transform with gamma 1.4,5,1,laplacian_variance,30,1.163259,0.007638,1.153942,1.162905,1.173385,0.484743,0.491388,0.000000,0.000000
